code	title	ec
00010	Glycolysis / Gluconeogenesis	CG5432  CG6058  CG31075  CG3752  CG9629  CG11140  CG2767  CG3481  CG6598  CG11876  CG7010  CG7024  CG11876  CG7010  CG7024  CG5261  CG10160  CG13334  CG11249  CG12229  CG2964  CG7069  CG7070  CG7362  CG17654  CG1721  CG17645  CG12055  CG8893  CG9010  CG2171  CG4001  CG31692  CG8251  CG10202  CG5165  CG8073  CG8251  CG3001  CG32849  CG33102  CG8094  CG8251  CG9008  CG10467  CG10996  CG32444  CG32445  CG4988  CG3001  CG32849  CG33102  CG8094  CG15400  CG7430  CG3127  CG9961  CG10924  CG17725  CG9390  CG6650  CG6650  CG4123  CG4317 
00020	Citrate cycle (TCA cycle)	CG7430  CG11661  CG33791  CG11661  CG33791  CG5214  CG10622  CG1065  CG11963  CG6255  CG10622  CG1065  CG11963  CG6255  CG7176  CG12233  CG32026  CG3483  CG5028  CG6439  CG7176  CG8322  CG31874  CG4094  CG4095  CG6140  CG4706  CG4900  CG6342  CG9244  CG4706  CG4900  CG6342  CG9244  CG14740  CG3861  CG10748  CG10749  CG5362  CG7998  CG1516  CG11876  CG7010  CG7024  CG11876  CG7010  CG7024  CG7430  CG5261  CG10924  CG17725  CG10219  CG17246  CG3283  CG5718  CG6629  CG6666  CG7349 
00030	Pentose phosphate pathway	CG8251  CG13369  CG17010  CG10202  CG8525  CG6767  CG10202  CG13369  CG17010  CG5103  CG8036  CG30410  CG30499  CG5103  CG8036  CG5432  CG6058  CG4001  CG31692  CG8251  CG3724  CG17333  CG12529  CG7140  CG1152  CG12398  CG2827  CG10202  CG5165  CG8073  CG9886  CG3724  CG12529  CG7140 
00040	Pentose and glucuronate interconversions	CG15117  CG2135  CG30499  CG3534  CG10638  CG10863  CG12766  CG40064  CG6083  CG6084  CG9436  CG7322  CG10638  CG10863  CG12766  CG40064  CG6083  CG6084  CG9436  CG10131  CG9914  CG4347  CG10178  CG11012  CG11289  CG13270  CG13271  CG15661  CG15902  CG17200  CG17322  CG17323  CG17324  CG17932  CG2788  CG31002  CG3797  CG4302  CG4414  CG4772  CG5724  CG5999  CG6475  CG6633  CG6644  CG6649  CG6653  CG6658  CG8652  CG9481  CG10072  CG13280  CG3597  CG3609  CG1982  CG4649  CG2767 
00051	Fructose and mannose metabolism	CG10638  CG10863  CG12766  CG40064  CG6083  CG6084  CG9436  CG1982  CG4649  CG12289  CG7328  CG7335  CG7551  CG3001  CG32849  CG33102  CG8094  CG3001  CG32849  CG33102  CG8094  CG3400  CG8417  CG10688  CG3495  CG8890  CG1129  CG8207  CG4001  CG2171  CG5432  CG6058  CG5432  CG6058  CG31692 
00052	Galactose metabolism	CG7997  CG4001  CG7997  CG11669  CG11909  CG14934  CG14935  CG7685  CG8690  CG8693  CG8694  CG8695  CG8696  CG7997  CG10638  CG10863  CG12766  CG40064  CG6083  CG6084  CG9436  CG7997  CG7997  CG7997  CG7997  CG3001  CG32849  CG33102  CG8094  CG3132  CG9092  CG10202  CG5165  CG8073  CG12030  CG4347  CG9232  CG15400  CG7997  CG10467  CG10996  CG32444  CG32445  CG4988 
00053	Ascorbate and aldarate metabolism	CG6910  CG10072  CG10178  CG11012  CG11289  CG13270  CG13271  CG15661  CG15902  CG17200  CG17322  CG17323  CG17324  CG17932  CG2788  CG31002  CG3797  CG4302  CG4414  CG4772  CG5724  CG5999  CG6475  CG6633  CG6644  CG6649  CG6653  CG6658  CG8652  CG9481  CG31075  CG3752  CG9629 
00061	Fatty acid biosynthesis	CG17374  CG3523  CG3524  CG12170  CG12170  CG12170  CG12170  CG12170  CG12170  CG12170  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG7842  CG17374  CG3523  CG3524  CG17374  CG3523  CG3524  CG11198  CG12170  CG3961  CG4500  CG4501  CG8732 
00062	Fatty acid elongation	CG12108  CG4851  CG16935  CG4389  CG6543  CG4389  CG4581  CG4600  CG16935  CG4389  CG6543  CG4389  CG4581  CG4600  CG16935  CG4389  CG6543  CG4389  CG4581  CG4600  CG16935  CG4389  CG6543  CG4389  CG4581  CG4600  CG16935  CG4389  CG6543  CG4389  CG4581  CG4600  CG16935  CG4389  CG6543  CG4389  CG4581  CG4600  CG1444  CG10849  CG6746  CG9267  CG4389  CG6543  CG4581  CG4600  CG16935  CG4389  CG12108  CG4851  CG11801  CG17821  CG18609  CG32072  CG3971 
00071	Fatty acid degradation	CG3902  CG3902  CG4703  CG4860  CG4389  CG6543  CG12262  CG13890  CG4592  CG4594  CG4598  CG10932  CG9149  CG4581  CG4600  CG4389  CG6543  CG4703  CG4860  CG12262  CG4389  CG4581  CG4600  CG4389  CG6543  CG12262  CG4389  CG4581  CG4600  CG4389  CG6543  CG12262  CG4389  CG4581  CG4600  CG4389  CG6543  CG12262  CG3481  CG6598  CG9547  CG4389  CG4581  CG4600  CG4389  CG6543  CG12262  CG4389  CG4581  CG4600  CG4389  CG6543  CG12262  CG3961  CG4500  CG4501  CG8732  CG4389  CG17544  CG4586  CG5009  CG9527  CG9707  CG9709  CG17544  CG4586  CG5009  CG9527  CG9707  CG9709  CG17544  CG4586  CG5009  CG9527  CG9707  CG9709  CG17544  CG4586  CG5009  CG9527  CG9707  CG9709  CG17544  CG4586  CG5009  CG9527  CG9707  CG9709  CG17544  CG4586  CG5009  CG9527  CG9707  CG9709  CG17544  CG4586  CG5009  CG9527  CG9707  CG9709  CG10932  CG9149  CG7461  CG7461  CG12891  CG2107  CG31075  CG3752  CG9629 
00072	Synthesis and degradation of ketone bodies	CG4311  CG10399  CG10932  CG9149  CG12068  CG13377  CG1140 
00100	Steroid biosynthesis	CG1998  CG11406  CG18301  CG6113  CG8823  CG8112 
00130	Ubiquinone and other terpenoid-quinone biosynthesis	CG9613  CG9249  CG11796  CG1461  CG7277  CG2453  CG14437  CG9249  CG13927  CG33544  CG13927  CG33544 
