code	title	ec
00010	Glycolysis / Gluconeogenesis	226 229 230 217 219 223 224 501 218 220 221 222 10327 124 125 126 127 128 130 131 5160 5161 5162 5160 5161 5162 1737 160287 3939 3945 3948 92483 5313 5315 2023 2026 2027 441531 5223 5224 669 2597 26330 7167 5211 5213 5214 2203 8789 2821 5236 55276 2821 3098 3099 3101 80201 2645 2821 130589 2645 3098 3099 3101 80201 2538 57818 92579 1738 5230 5232 5105 5106 669 669 55902 84532 83440 83440 9562
00020	Citrate cycle (TCA cycle)	1738 4967 55753 4967 55753 1743 8801 8802 8803 8801 8802 8803 3417 3418 3419 3420 3421 3417 3418 47 2271 48 50 48 50 1431 4190 4191 5091 5160 5161 5162 5160 5161 5162 1738 1737 5105 5106 6389 6390 6391 6392
00030	Pentose phosphate pathway	2821 64080 55276 51071 221823 5631 5634 55276 64080 7086 8277 84076 22934 6120 729020 7086 8277 84076 226 229 230 5211 5213 5214 2203 8789 2821 5226 25796 2539 414328 9104 6888 5236 55276 132158 9563 5226 2539
00040	Pentose and glucuronate interconversions	2990 9365 6120 729020 729920 9942 231 57016 51181 231 57016 51084 7360 10720 10941 54490 54575 54576 54577 54578 54579 54600 54657 54658 54659 574537 7363 7364 7365 7366 7367 79799 7358 27294 6652 10327
00051	Fructose and mannose metabolism	231 57016 6652 3795 3098 3099 3101 80201 3098 3099 3101 80201 5207 5208 5209 5210 57103 4351 5372 5373 8790 7264 2762 29925 29926 5211 5213 5214 7167 226 229 230 26007 226 229 230 2203 8789 197258 55556
00052	Galactose metabolism	2717 5211 5213 5214 2717 2548 2595 8972 93432 2717 231 57016 2717 2717 2717 2717 2645 3098 3099 3101 80201 3938 2720 5236 55276 2683 3906 8704 2582 7360 2592 2538 57818 92579 2717 6476 2584 130589
00053	Ascorbate and aldarate metabolism	55586 7358 9104 10720 10941 54490 54575 54576 54577 54578 54579 54600 54657 54658 54659 574537 7363 7364 7365 7366 7367 79799 217 219 223 224 501
00061	Fatty acid biosynthesis	2194 55301 55301 55301 54995 54995 54995 54995 54995 54995 54995 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 2194 27349 2194 2194 31 32 54995 2180 2181 2182 23205 23305 51703 81616
00062	Fatty acid elongation	5538 9374 51102 1892 3030 3030 10449 3032 51102 1892 3030 3030 10449 3032 51102 1892 3030 3030 10449 3032 51102 1892 3030 3030 3033 10449 3032 51102 1892 3030 3030 3033 10449 3032 51102 1892 3030 3030 3033 10449 3032 51144 9524 201562 401494 51495 9200 1892 3030 3033 10449 3032 51102 3030 5538 9374 10965 11332 122970 641371 54898 60481 64834 6785 79071 79993 83401
00071	Fatty acid degradation	36 36 35 1962 3033 1892 1962 3030 34 10455 1632 1962 38 39 10449 30 3032 1962 3033 1892 1962 3030 35 34 3030 33 10449 30 3032 1962 3033 1892 1962 3030 34 3030 33 10449 30 3032 1962 3033 1892 1962 3030 34 33 3030 10449 30 3032 1962 3033 1892 1962 3030 34 124 125 126 127 128 130 131 2639 3030 33 10449 30 3032 1892 1962 3030 34 1962 3033 3030 33 1579 284541 10449 30 3032 1962 3033 1892 1962 3030 34 2180 2181 2182 23205 23305 51703 81616 3030 33 51 8310 51 8310 51 8310 51 8310 51 8310 51 8310 51 8310 38 39 37 37 126129 1374 1375 1376 217 219 223 224 501
00072	Synthesis and degradation of ketone bodies	3157 3158 3155 54511 38 39 56898 622 5019 64064
00100	Steroid biosynthesis	6309 10682 1717 6309 10682 6309 1718 1717 6309 1718 1718 1718 1718 1718 1718 1595 7108 1717 4047 7108 10682 50814 1718 10826 6307 1595 51478 1056 3988 6646 8435 120227 1594 1591 1591 2222 2222 6713 1718
00120	Primary bile acid biosynthesis	10858 9420 1581 9420 6718 1109 1593 23600 8309 1109 9023 1581 3295 6342 6342 10998 570 1593 1593 1593 80270 80270 80270 80270 570 10998 570 570 1582 51302 10998 1593 1593 1593 23600 8309 3295 10998 6718 3295 3295 9420 80270 10005 10005
00130	Ubiquinone and other terpenoid-quinone biosynthesis	27235 51805 3242 6898 51004 84274 10229 51805 2677 154807 79001 1728 1728 2677 154807 79001
00140	Steroid hormone biosynthesis	3292 3294 51144 51478 7923 8630 412 6820 1583 1583 1583 1583 1583 1583 1586 1589 3283 3284 3283 3284 9420 412 6820 3283 3284 3283 3284 3283 3284 3283 3284 3283 3284 3283 3284 3283 3284 3283 3284 1584 1585 1586 6820 412 100861540 1543 1544 1551 1577 8644 3283 3284 3283 3284 3283 3284 3283 3284 1589 3283 3284 3283 3284 1586 6715 6716 79644 1646 8644 1585 6718 1109 1584 1585 1589 1645 3290 3291 1109 3290 1584 1585 1589 6718 6715 6716 79644 1109 1646 8644 1645 1645 1646 8644 1586 1584 1585 1589 1589 3292 3294 51144 51478 7923 8630 6718 1109 1584 1585 6718 1109 1586 3290 3291 1586 8644 3293 3294 7923 8630 1584 1585 3290 1109 6718 10720 10941 54490 54575 54576 54577 54578 54579 54600 54657 54658 54659 574537 7363 7364 7365 7366 7367 79799 6715 6716 79644 1109 10720 10941 54490 54575 54576 54577 54578 54579 54600 54657 54658 54659 574537 7363 7364 7365 7366 7367 79799 1588 1577 1588 1543 10720 10941 54490 54575 54576 54577 54578 54579 54600 54657 54658 54659 574537 7363 7364 7365 7366 7367 79799 3292 3294 51144 51478 7923 8630 6715 6716 79644 1109 6718 10720 10941 54490 54575 54576 54577 54578 54579 54600 54657 54658 54659 574537 7363 7364 7365 7366 7367 79799 10720 10941 54490 54575 54576 54577 54578 54579 54600 54657 54658 54659 574537 7363 7364 7365 7366 7367 79799 1543 1312 10720 10941 54490 54575 54576 54577 54578 54579 54600 54657 54658 54659 574537 7363 7364 7365 7366 7367 79799 10720 10941 54490 54575 54576 54577 54578 54579 54600 54657 54658 54659 574537 7363 7364 7365 7366 7367 79799 1312 1545 6783 8644 10720 10941 54490 54575 54576 54577 54578 54579 54600 54657 54658 54659 574537 7363 7364 7365 7366 7367 79799 1109 1645 1581 1585 1588 1588 1588 1588 1571 1576 1576
00190	Oxidative phosphorylation	1327 84701 100532726 4718 4717 4716 4715 4714 4713 4712 4711 4710 4709 4708 4707 126328 4706 4705 4704 4702 4701 4700 4698 4697 56901 4696 4695 4694 4731 4729 4723 4728 374291 4726 4725 4724 4722 4720 4719 4541 4540 4539 4538 4537 4536 4535 10063 1355 1353 100532726 374291 4694 4695 4696 4697 4698 4700 4701 4702 4704 4705 4706 4707 4708 4709 4710 4711 4712 4713 4714 4715 4716 4717 4718 4719 4720 4722 4723 4724 4725 4726 4728 4729 4731 51079 54539 55967 56901 1351 341947 1350 1349 170712 1346 1347 9167 1345 100532726 126328 374291 4535 4536 4537 4538 4539 4540 4541 4694 4695 4696 4697 4698 4700 4701 4702 4704 4705 4706 4707 4708 4709 4710 4711 4712 4713 4714 4715 4716 4717 4718 4719 4720 4722 4723 4724 4725 4726 4728 4729 4731 51079 54539 55967 56901 10975 1537 27089 29796 440567 4519 7381 7384 7385 7386 7388 125965 1327 1329 1337 1339 1340 1345 1346 1347 1349 1350 1351 170712 341947 4512 4513 4514 84701 9167 9377 10312 10476 10632 127124 155066 23545 245972 245973 4508 4509 498 506 50617 509 513 51382 514 515 516 51606 517 518 521 522 523 525 526 527 528 529 533 534 535 537 539 8992 90423 9114 9296 9550 9551 479 495 496 27068 5464 64077 6391 6392 6389 6390 10975 29796 27089 7381 440567 7388 7385 7384 1537 4519 7386 125965 1340 1337 1339 1329 9377 4513 4512 4514 1352 506 498 509 539 513 514 516 517 518 4508 515 521 522 9551 4509 10476 10632 523 525 526 245973 528 51382 529 90423 9296 127124 534 9550 51606 10312 23545 50617 535 245972 9114 155066 8992 537 527 533 54539 55967 51079 6389 6390 6391 6392
00220	Arginine biosynthesis	27165 2744 2752 1373 5009 445 435 383 384 162417 100526760 95 4842 4843 4846 2746 2747 2805 2806 2875 84706
00230	Purine metabolism	50484 6240 6241 7498 221823 5631 5634 5471 2618 2618 2618 471 158 10606 10606 87178 10846 50940 5136 5137 5138 5139 5140 5153 107 108 109 111 112 113 114 115 196883 55811 101060521 10621 10622 10623 11128 171568 221830 246721 25885 30834 51082 51728 5430 5431 5432 5433 5434 5435 5436 5437 5438 5439 5440 5441 548644 55703 55718 64425 661 84172 84265 9533 10714 23649 54107 5422 5424 5425 5426 5427 5557 5558 56655 57804 377841 953 956 954 10201 221264 29922 4830 4831 4832 4833 654364 10201 221264 29922 4830 4831 4832 4833 654364 50484 6240 6241 377841 953 956 102157402 122481 158067 203 204 205 221264 26289 390877 158 122622 159 270 271 272 100526794 115024 22978 30833 4907 51251 56953 84618 93034 132 353 100526794 115024 22978 30833 4907 51251 56953 84618 93034 100 4860 4860 100526794 115024 22978 30833 4907 51251 56953 84618 93034 100 51816 377841 953 956 10201 221264 29922 4830 4831 4832 4833 654364 377841 953 956 2766 51292 3614 3615 8833 377841 953 956 124583 955 957 9583 3251 4860 7498 100526794 115024 22978 30833 4907 51251 56953 84618 93034 4860 3251 100526794 115024 22978 30833 4907 51251 56953 84618 93034 3251 2987 4860 9615 55821 374659 58497 87178 377841 953 956 10201 221264 29922 4830 4831 4832 4833 654364 2987 10201 221264 29922 4830 4831 4832 4833 654364 100526794 115024 22978 30833 4907 51251 56953 84618 93034 4860 101060521 10621 10622 10623 11128 171568 221830 246721 25885 30834 51082 51728 5430 5431 5432 5433 5434 5435 5436 5437 5438 5439 5440 5441 548644 55703 55718 64425 661 84172 84265 9533 2977 2982 2983 2984 2986 3000 4881 4882 10714 23649 54107 5422 5424 5425 5426 5427 5557 5558 56655 57804 10846 50940 5136 5137 5138 5139 5140 5145 5146 5147 5148 5149 5152 5153 5158 8654 9060 9061 9060 9061 7498 7498 5198 3704 3704 3704 318 318 1716 3704 318 55276 11164 53343 56985 4860 102157402 122481 158067 203 204 205 221264 26289 390877 10201 221264 29922 4830 4831 4832 4833 654364 3704 2272 22875 107 108 109 111 112 113 114 115 196883 55811 5313 5315 5313 5315 353 353 124583 955 957 9583 1633 5313 5315 5313 5315 84284 471 646625 27115 5141 5142 5143 5144 5150 5151 8622 5236 55276 131870 131870 50808 5167 5169 5167 5169
00232	Caffeine metabolism	1544 7498 7498 1544 10 9 7498 1544 7498 1548
